Date,Open,High,Low,Close,Adj Close,Volume
2021-01-07,882.000000,906.900024,881.200012,898.799988,897.786743,6016480
2021-01-08,903.599976,926.500000,894.799988,917.159973,916.125977,8242610
2021-01-11,920.099976,926.200012,895.500000,898.609985,897.596924,5424440
2021-01-12,900.400024,906.989990,892.250000,895.900024,894.890015,5770450
2021-01-13,900.479980,903.000000,871.015015,879.364990,878.373596,5140780
2021-01-14,881.400024,892.994995,867.500000,874.734985,873.748840,5684370
2021-01-15,875.479980,882.619995,861.000000,863.609985,862.636353,5196510
2021-01-18,863.609985,863.609985,827.369995,835.460022,834.518127,6344360
2021-01-19,840.000000,897.799988,840.000000,892.414978,891.408875,13797180
2021-01-20,893.799988,902.500000,883.799988,893.825012,892.817322,7864960
2021-01-21,899.500000,938.885010,895.049988,905.280029,904.259399,16453770
2021-01-22,907.000000,921.349976,896.520020,907.099976,906.077393,8398220
2021-01-25,914.400024,934.489990,908.000000,919.890015,918.852966,7811220
2021-01-27,916.500000,928.494995,904.205017,912.609985,911.581116,6166310
2021-01-28,902.000000,921.525024,881.760010,895.530029,894.520447,8447360
2021-01-29,904.195007,910.934998,867.554993,872.275024,871.291626,7273520
2021-02-01,875.000000,983.890015,863.799988,972.179993,971.083984,15653650
2021-02-02,982.770020,999.000000,931.500000,947.630005,946.561707,13943900
2021-02-03,956.159973,963.929993,943.534973,953.604980,952.529907,6235450
2021-02-04,951.000000,976.000000,947.049988,970.054993,968.961365,6047270
2021-02-05,978.000000,994.000000,955.599976,972.219971,971.123901,9225610
2021-02-08,975.000000,1011.000000,973.804993,1002.104980,1000.975220,9858550
2021-02-09,1006.700012,1006.799988,988.200012,994.164978,993.044189,5126070
2021-02-10,990.099976,1035.459961,990.099976,1022.794983,1021.641907,14306670
2021-02-11,1010.500000,1041.790039,1010.500000,1021.664978,1020.513184,7155380
2021-02-12,1025.000000,1033.114990,1016.799988,1027.880005,1026.721191,3802850
2021-02-15,1033.020020,1057.900024,1028.000000,1053.770020,1052.582031,5364060
2021-02-16,1050.000000,1053.199951,1036.099976,1046.060059,1044.880615,3586040
2021-02-17,1042.000000,1049.880005,1011.219971,1018.565002,1017.416687,5822590
2021-02-18,1031.000000,1031.000000,1013.500000,1019.895020,1018.745239,4347410
2021-02-19,1015.000000,1042.765015,1014.000000,1025.045044,1023.889343,6233430
2021-02-22,1023.000000,1024.920044,996.015015,1000.059998,998.932556,4269080
2021-02-23,1005.099976,1019.500000,992.914978,1000.864990,999.736572,3426100
2021-02-24,1003.000000,1025.000000,1001.505005,1019.960022,1018.810181,2699760
2021-02-25,1034.000000,1037.795044,1013.159973,1026.444946,1025.287720,3548020
2021-02-26,995.000000,1011.469971,960.000000,964.859985,963.772217,8465050
2021-03-01,979.900024,984.859985,961.369995,977.405029,976.303101,3224370
2021-03-02,985.000000,996.500000,977.909973,987.700012,986.586548,2970010
2021-03-03,992.640015,1044.494995,989.039978,1039.560059,1038.388062,5041220
2021-03-04,1015.000000,1028.000000,1007.775024,1012.994995,1011.852966,4121170
2021-03-05,1008.000000,1016.099976,990.005005,995.809998,994.687317,3551260
2021-03-08,997.000000,1004.565002,980.530029,983.909973,982.800781,2640070
2021-03-09,1000.000000,1011.994995,986.020020,996.914978,995.791077,3062110
2021-03-10,1002.500000,1009.469971,993.059998,999.145020,998.018616,2446320
2021-03-12,1008.150024,1021.609985,984.000000,993.409973,992.289978,4543480
2021-03-15,996.900024,996.900024,954.400024,968.905029,967.812683,5459130
2021-03-16,972.500000,978.565002,958.500000,961.330017,960.246216,3705870
2021-03-17,963.000000,966.184998,948.005005,952.510010,951.436157,2934490
2021-03-18,960.000000,973.500000,937.200012,943.015015,941.951904,4011350
2021-03-19,935.000000,948.984985,921.159973,944.065002,943.000732,4881260
2021-03-22,945.000000,949.494995,931.205017,940.585022,939.524658,2930290
2021-03-23,942.400024,950.659973,938.229980,940.520020,939.459656,2964830
2021-03-24,937.000000,937.864990,917.924988,920.205017,919.167603,3354390
2021-03-25,922.500000,925.000000,896.005005,905.755005,904.733887,3820080
2021-03-26,914.000000,950.700012,914.000000,946.744995,945.677673,6786360
2021-03-30,954.700012,964.500000,944.005005,950.234985,949.163696,3565110
2021-03-31,951.234985,971.559998,945.000000,966.859985,965.769958,4241400
2021-04-01,973.000000,982.599976,966.750000,978.950012,977.846375,3100650
2021-04-05,976.000000,976.390015,915.000000,948.164978,947.096069,6121660
2021-04-06,955.099976,962.500000,947.505005,951.950012,950.876831,3441250
2021-04-07,951.950012,965.840027,946.635010,953.960022,952.884583,3000030
2021-04-08,959.000000,973.515015,957.505005,965.479980,964.391541,3536340
2021-04-09,961.099976,971.500000,956.099976,962.905029,961.819458,3286990
2021-04-12,941.994995,945.979980,903.585022,916.315002,915.281982,5668360
2021-04-13,920.000000,984.750000,919.005005,980.669983,979.564392,8309150
2021-04-15,975.169983,983.400024,959.700012,973.969971,972.871948,5875040
2021-04-16,976.500000,988.000000,976.500000,982.474976,981.367310,4001320
2021-04-19,950.549988,965.400024,939.260010,946.989990,945.922363,6974350
2021-04-20,960.000000,994.549988,960.000000,981.940002,980.832947,7987320
2021-04-22,970.000000,991.190002,961.000000,985.385010,984.274109,5822100
2021-04-23,974.000000,1014.239990,974.000000,991.664978,990.546997,6280250
2021-04-26,999.200012,1012.500000,990.219971,1000.174988,999.047424,4195960
2021-04-27,1000.000000,1013.299988,996.469971,1009.135010,1007.997314,3428470
2021-04-28,1020.000000,1061.594971,1015.114990,1048.930054,1047.747559,11138810
2021-04-29,1054.000000,1130.000000,1052.000000,1117.655029,1116.394897,16964980
2021-04-30,1100.000000,1122.500000,1086.869995,1104.165039,1102.920166,8353550
2021-05-03,1090.099976,1111.084961,1081.415039,1104.170044,1102.925171,3969310
2021-05-04,1120.000000,1121.885010,1087.199951,1098.645020,1097.406372,5221010
2021-05-05,1111.099976,1119.464966,1091.520020,1111.444946,1110.192017,3077500
2021-05-06,1110.000000,1119.410034,1099.000000,1102.795044,1101.551758,2288400
2021-05-07,1105.000000,1139.290039,1100.989990,1131.844971,1130.568848,3434430
2021-05-10,1139.000000,1154.900024,1128.000000,1133.199951,1131.922363,4320370
2021-05-11,1119.400024,1131.064941,1113.915039,1119.305054,1118.043091,1986640
2021-05-12,1119.000000,1132.500000,1105.239990,1108.795044,1107.544922,2269530
2021-05-14,1111.099976,1116.375000,1086.800049,1097.150024,1095.913208,3136030
2021-05-17,1097.000000,1137.500000,1094.265015,1124.935059,1123.666870,3180210
2021-05-18,1134.564941,1158.900024,1129.010010,1139.680054,1138.395264,4039590
2021-05-19,1139.000000,1143.400024,1117.005005,1121.515015,1120.250732,2275670
2021-05-20,1126.000000,1129.994995,1113.069946,1122.790039,1121.524170,1778970
2021-05-21,1129.670044,1141.500000,1121.300049,1126.515015,1125.244995,2775210
2021-05-24,1126.545044,1136.500000,1109.500000,1116.680054,1115.421143,2142290
2021-05-25,1124.500000,1140.500000,1120.130005,1137.584961,1136.302490,3941510
2021-05-26,1140.000000,1198.000000,1138.515015,1190.640015,1189.297607,10152650
2021-05-27,1191.000000,1196.814941,1173.204956,1188.880005,1187.539673,4079730
2021-05-28,1192.500000,1202.494995,1168.000000,1171.319946,1169.999512,2633150
2021-05-31,1171.319946,1185.505005,1161.800049,1180.630005,1179.298950,2411520
